                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0465,                  3.745,                 1.8875,                0.00388,                0.65119,                0.00795,                0.00234,                 1.6011,                 3.5141,                 1.6167,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.9291,                  3.648,                 1.7939,                0.00593,                  0.925,                0.28859,                0.14947,                 1.2614,                 3.2758,                 1.2291,             0.00014929,             0.00014929,             0.00014929
                      3,                 1.6621,                 2.9451,                 1.4905,                0.00595,                   0.95,                0.46787,                0.27414,                   1.19,                 3.0113,                  1.095,             0.00023107,             0.00023107,             0.00023107
                      4,                 1.6811,                 2.2761,                 1.4553,                0.00607,                  0.975,                0.52104,                0.29484,                 1.2523,                 2.8198,                 1.1152,             0.00031203,             0.00031203,             0.00031203
                      5,                 1.5699,                 2.2216,                 1.4241,                0.00607,                  0.975,                0.56224,                0.22323,                 1.2925,                 2.8895,                 1.1627,             0.00039216,             0.00039216,             0.00039216
                      6,                 1.5267,                 2.0646,                 1.3258,                0.00624,                      1,                0.57801,                0.29958,                 1.3559,                 2.6822,                 1.0982,             0.00047147,             0.00047147,             0.00047147
                      7,                 1.4654,                 1.9416,                 1.3114,                0.42437,                0.58095,                0.48969,                0.21647,                 1.4862,                 2.8494,                 1.2477,             0.00054995,             0.00054995,             0.00054995
                      8,                 1.4848,                 1.8907,                 1.3224,                      1,                0.11423,                0.47914,                0.23931,                 1.5174,                 2.8485,                 1.2614,              0.0006276,              0.0006276,              0.0006276
                      9,                 1.4332,                 1.7678,                 1.3001,                      1,                0.20511,                0.52448,                0.27035,                  1.533,                 2.8318,                 1.3036,             0.00070443,             0.00070443,             0.00070443
                     10,                 1.3856,                 1.6464,                  1.242,                0.90387,                0.28571,                0.51641,                0.28679,                 1.5208,                 2.6898,                 1.2834,             0.00078044,             0.00078044,             0.00078044
                     11,                 1.3992,                 1.5616,                 1.2422,                0.91479,                0.34801,                0.57175,                0.32294,                 1.4995,                 2.6657,                  1.273,             0.00085562,             0.00085562,             0.00085562
                     12,                 1.3487,                 1.5436,                  1.221,                0.55979,                0.29377,                0.42614,                0.11272,                 1.8645,                 3.1869,                 1.7029,             0.00092998,             0.00092998,             0.00092998
                     13,                  1.549,                 1.6491,                 1.3282,                0.95498,                0.24082,                0.44195,                0.14743,                 1.7008,                 3.0475,                  1.539,              0.0010035,              0.0010035,              0.0010035
                     14,                 1.4107,                 1.5851,                 1.3279,                0.95305,                0.23028,                0.38642,                0.26114,                 1.4448,                 2.9025,                 1.3435,              0.0010762,              0.0010762,              0.0010762
                     15,                 1.3237,                 1.4618,                 1.2631,                0.48304,                0.21429,                0.37867,                0.19358,                 1.5156,                 2.9634,                 1.4599,              0.0011481,              0.0011481,              0.0011481
                     16,                 1.3375,                 1.4026,                 1.2704,                0.59259,                0.19229,                0.36782,                0.20543,                 1.4607,                 2.9419,                  1.402,              0.0012191,              0.0012191,              0.0012191
                     17,                 1.3084,                 1.3226,                  1.226,                0.60765,                0.38452,                0.44369,                0.26028,                 1.4665,                 2.6964,                 1.3513,              0.0012894,              0.0012894,              0.0012894
                     18,                 1.2995,                 1.3476,                 1.2442,                0.54079,                0.50996,                0.50859,                0.28926,                 1.4642,                 2.4723,                 1.3208,              0.0013588,              0.0013588,              0.0013588
                     19,                    1.3,                 1.2371,                 1.2161,                0.59568,                0.55476,                0.59369,                0.31941,                 1.5174,                 2.2496,                 1.3141,              0.0014274,              0.0014274,              0.0014274
                     20,                 1.3198,                 1.2485,                 1.2442,                0.70189,                0.43695,                0.53686,                0.23874,                 1.8642,                 2.2279,                  1.657,              0.0014951,              0.0014951,              0.0014951
                     21,                 1.3269,                 1.2045,                 1.2556,                0.52826,                0.55833,                0.51745,                 0.2739,                 1.5378,                 2.2459,                 1.4164,               0.001502,               0.001502,               0.001502
                     22,                  1.228,                 1.1142,                 1.2084,                0.59973,                0.41786,                 0.4321,                0.24607,                 1.4259,                 2.5157,                 1.3677,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.2402,                 1.1242,                  1.192,                0.37981,                0.30488,                0.29269,                0.13525,                 1.7461,                 2.8236,                 1.6779,              0.0014855,              0.0014855,              0.0014855
                     24,                  1.248,                 1.1712,                 1.1949,                0.57028,                 0.3881,                0.41573,                0.24737,                 1.3633,                 2.6368,                 1.3678,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.2046,                 1.0918,                 1.1546,                0.77271,                0.41206,                0.55442,                0.34193,                 1.2488,                 2.5089,                 1.2836,               0.001469,               0.001469,               0.001469
                     26,                 1.2715,                 1.1471,                 1.1933,                0.67746,                0.38092,                0.50071,                0.21311,                 1.4197,                 2.7524,                 1.4417,              0.0014607,              0.0014607,              0.0014607
                     27,                 1.2195,                 1.1756,                 1.1883,                0.52794,                 0.3869,                0.41866,                0.20668,                 1.4621,                 2.6935,                  1.505,              0.0014525,              0.0014525,              0.0014525
                     28,                 1.2322,                 1.0785,                 1.1825,                0.85202,                0.34008,                0.39599,                0.23906,                 1.5195,                 2.6227,                 1.5449,              0.0014442,              0.0014442,              0.0014442
                     29,                 1.2612,                 1.1219,                 1.2067,                0.87248,                0.28571,                0.37135,                0.22841,                 1.5477,                  2.607,                 1.5241,               0.001436,               0.001436,               0.001436
                     30,                 1.1791,                 1.0229,                   1.19,                0.64003,                0.41778,                0.43812,                0.25288,                 1.5989,                 2.4981,                 1.5214,              0.0014277,              0.0014277,              0.0014277
                     31,                 1.2152,                  1.045,                 1.1677,                0.54393,                0.43011,                0.48983,                0.31412,                 1.4617,                 2.3439,                 1.4079,              0.0014195,              0.0014195,              0.0014195
                     32,                 1.2096,                 1.0571,                 1.2234,                0.63839,                0.48016,                0.51568,                0.32832,                 1.4056,                 2.2222,                  1.389,              0.0014112,              0.0014112,              0.0014112
                     33,                 1.0567,                0.94208,                 1.1231,                0.53861,                0.54246,                0.53027,                0.30896,                 1.4937,                 2.1677,                 1.3983,              0.0014029,              0.0014029,              0.0014029
                     34,                 1.1298,                 1.0125,                 1.1645,                0.60893,                0.62857,                0.57109,                0.34147,                 1.4398,                  2.057,                 1.3739,              0.0013947,              0.0013947,              0.0013947
                     35,                 1.0982,                0.97185,                 1.1109,                0.64451,                0.64821,                0.60959,                0.39296,                 1.3675,                 1.8918,                 1.3102,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.0633,                0.95197,                 1.1431,                0.76264,                0.46431,                0.59543,                0.37007,                  1.526,                 1.8616,                 1.4889,              0.0013782,              0.0013782,              0.0013782
                     37,                 1.0855,                0.94838,                 1.1521,                0.60976,                0.62857,                0.59824,                0.35279,                 1.5163,                 1.8482,                 1.4956,              0.0013699,              0.0013699,              0.0013699
                     38,                 1.0591,                0.90145,                 1.1408,                 0.6343,                0.60476,                0.59067,                0.32566,                 1.4728,                 1.9217,                 1.4322,              0.0013617,              0.0013617,              0.0013617
                     39,                 1.1082,                0.88661,                 1.1281,                 0.6622,                0.60238,                0.59271,                0.32089,                 1.4826,                 2.0062,                 1.4455,              0.0013534,              0.0013534,              0.0013534
                     40,                 1.1025,                 0.9493,                 1.1574,                0.74831,                0.50595,                0.57051,                0.37863,                 1.3976,                 2.0659,                 1.4086,              0.0013452,              0.0013452,              0.0013452
                     41,                 1.0968,                 1.0171,                 1.1841,                0.74428,                 0.5715,                0.57959,                 0.3772,                 1.4421,                 2.0627,                 1.4274,              0.0013369,              0.0013369,              0.0013369
                     42,                 1.0321,                0.87997,                  1.116,                 0.5933,                0.61032,                0.58555,                0.37204,                 1.4061,                 1.9762,                 1.4223,              0.0013287,              0.0013287,              0.0013287
                     43,                 1.0287,                0.90177,                  1.149,                0.63495,                0.62619,                0.59769,                0.37338,                 1.4028,                 1.8721,                 1.4293,              0.0013204,              0.0013204,              0.0013204
                     44,                 1.0629,                0.86022,                 1.1105,                 0.7137,                0.65238,                0.59522,                0.35298,                 1.4924,                 1.7169,                 1.5855,              0.0013122,              0.0013122,              0.0013122
                     45,                 1.0543,                0.86875,                 1.1312,                0.61138,                0.62429,                0.63105,                0.37394,                 1.5226,                 1.6215,                 1.5607,              0.0013039,              0.0013039,              0.0013039
                     46,                 1.0897,                0.91863,                 1.2022,                0.46738,                0.75357,                0.59561,                0.33446,                 1.6142,                 1.6752,                 1.5934,              0.0012957,              0.0012957,              0.0012957
                     47,                 1.0595,                 0.8961,                 1.1249,                 0.3953,                0.64546,                0.49127,                0.24768,                 1.7476,                  2.024,                 1.6604,              0.0012874,              0.0012874,              0.0012874
                     48,                 1.0793,                0.91982,                 1.1244,                0.58714,                0.75714,                0.72453,                0.43022,                 1.4137,                 1.5039,                 1.3903,              0.0012792,              0.0012792,              0.0012792
                     49,                 1.0849,                0.85728,                 1.1548,                0.87938,                0.63519,                0.77706,                0.47595,                 1.3788,                 1.2448,                 1.3769,              0.0012709,              0.0012709,              0.0012709
                     50,                  1.069,                0.89648,                 1.1702,                0.94672,                0.70595,                 0.8108,                0.44225,                 1.5227,                 1.2294,                 1.4504,              0.0012627,              0.0012627,              0.0012627
                     51,                0.99638,                0.82972,                 1.1025,                 0.9007,                0.71735,                0.81254,                0.42316,                 1.5965,                 1.2662,                 1.5113,              0.0012544,              0.0012544,              0.0012544
                     52,                 1.0463,                0.82143,                 1.0954,                0.74008,                0.62452,                0.74828,                0.44728,                 1.3536,                 1.3249,                 1.3271,              0.0012462,              0.0012462,              0.0012462
                     53,                 1.0426,                0.82583,                 1.0972,                0.70981,                0.62817,                0.75111,                0.45401,                 1.3623,                 1.2844,                 1.3134,              0.0012379,              0.0012379,              0.0012379
                     54,                 0.9905,                0.79218,                 1.0832,                0.56149,                0.78034,                0.75107,                0.43208,                 1.4138,                 1.3315,                 1.3407,              0.0012297,              0.0012297,              0.0012297
                     55,                 1.0868,                0.81301,                  1.087,                0.63578,                0.68095,                0.74267,                0.40146,                 1.4637,                 1.4133,                  1.391,              0.0012214,              0.0012214,              0.0012214
                     56,                 1.0269,                0.86303,                 1.1696,                0.79244,                0.56044,                0.72489,                0.43344,                  1.392,                 1.4424,                 1.4025,              0.0012132,              0.0012132,              0.0012132
                     57,                0.98269,                0.74933,                 1.0709,                0.63869,                0.58901,                0.64487,                0.38116,                 1.3822,                 1.5281,                 1.4085,              0.0012049,              0.0012049,              0.0012049
                     58,                0.99099,                0.77811,                 1.0684,                0.52898,                0.69097,                0.60878,                0.33685,                 1.4289,                 1.5609,                 1.4652,              0.0011967,              0.0011967,              0.0011967
                     59,                0.97197,                0.74282,                 1.0685,                0.53769,                0.63571,                0.61585,                0.35031,                  1.435,                 1.5779,                 1.4619,              0.0011884,              0.0011884,              0.0011884
                     60,                0.94921,                0.74952,                 1.0565,                0.55591,                0.57716,                0.60963,                0.36194,                  1.423,                  1.579,                 1.4309,              0.0011802,              0.0011802,              0.0011802
                     61,                0.97502,                0.77471,                 1.1083,                0.62253,                0.60651,                0.67023,                0.35854,                 1.4962,                 1.5686,                  1.481,              0.0011719,              0.0011719,              0.0011719
                     62,                0.87881,                0.70499,                  1.048,                0.77528,                0.54108,                0.67234,                0.31407,                 1.6034,                 1.5694,                 1.6087,              0.0011636,              0.0011636,              0.0011636
                     63,                0.92024,                 0.7237,                 1.0547,                0.71402,                0.62147,                0.67241,                0.31739,                 1.7147,                 1.5423,                  1.728,              0.0011554,              0.0011554,              0.0011554
                     64,                0.90327,                0.70584,                 1.0148,                0.82852,                0.58799,                0.73985,                0.37233,                 1.6505,                 1.3249,                  1.627,              0.0011471,              0.0011471,              0.0011471
                     65,                0.96406,                0.75804,                 1.0535,                0.79095,                0.65476,                0.71732,                0.36897,                 1.7081,                 1.4073,                   1.69,              0.0011389,              0.0011389,              0.0011389
                     66,                 1.0643,                0.78115,                 1.1247,                0.77962,                0.60595,                0.66722,                0.32085,                 1.8961,                 1.5808,                 1.9031,              0.0011306,              0.0011306,              0.0011306
                     67,                0.92517,                0.69349,                 1.0302,                0.88563,                0.55476,                0.65497,                0.27714,                 1.9381,                 1.7114,                 1.9159,              0.0011224,              0.0011224,              0.0011224
                     68,                0.90699,                0.69172,                  1.037,                0.92084,                0.52453,                0.67236,                0.37654,                 1.6539,                 1.5405,                 1.6694,              0.0011141,              0.0011141,              0.0011141
                     69,                0.88541,                0.64771,                 1.0139,                0.84754,                0.53095,                0.67986,                0.38784,                 1.6182,                 1.4532,                 1.6477,              0.0011059,              0.0011059,              0.0011059
                     70,                0.89212,                0.67473,                 1.0169,                0.74604,                0.52007,                0.68191,                0.34904,                 1.7288,                 1.4144,                 1.7258,              0.0010976,              0.0010976,              0.0010976
                     71,                0.92239,                0.69861,                 1.0498,                0.60158,                0.67442,                0.68383,                0.33079,                 1.7638,                 1.3914,                  1.779,              0.0010894,              0.0010894,              0.0010894
                     72,                0.87632,                0.69193,                 1.0224,                0.64792,                0.65476,                0.67322,                0.29958,                 1.8577,                 1.5349,                  1.911,              0.0010811,              0.0010811,              0.0010811
                     73,                0.84055,                0.66951,                 1.0108,                0.57325,                0.72615,                0.64881,                0.30247,                 1.8117,                 1.5052,                 1.8311,              0.0010729,              0.0010729,              0.0010729
                     74,                0.84349,                0.62928,                 1.0075,                0.50927,                0.69375,                0.58667,                0.29018,                 1.7299,                 1.7957,                 1.6891,              0.0010646,              0.0010646,              0.0010646
                     75,                0.81566,                0.63754,                 1.0174,                0.51976,                0.70936,                0.60375,                0.33249,                 1.6601,                 1.7726,                  1.605,              0.0010564,              0.0010564,              0.0010564
                     76,                0.87396,                0.66049,                 1.0433,                0.55171,                0.71808,                0.67829,                0.40163,                 1.4579,                 1.4995,                 1.3989,              0.0010481,              0.0010481,              0.0010481
                     77,                 0.7654,                0.59002,                 1.0091,                0.58683,                0.77773,                0.70948,                0.39988,                  1.553,                 1.3614,                 1.4932,              0.0010399,              0.0010399,              0.0010399
                     78,                0.89205,                0.62383,                 1.0416,                0.63802,                0.67857,                0.72968,                0.39645,                 1.5487,                 1.3412,                   1.54,              0.0010316,              0.0010316,              0.0010316
                     79,                0.86187,                0.61566,                 1.0458,                0.74658,                0.66626,                0.74076,                  0.378,                 1.5537,                 1.3612,                  1.554,              0.0010234,              0.0010234,              0.0010234
                     80,                0.81337,                0.58438,                 1.0104,                0.78234,                0.64274,                0.72357,                0.39795,                 1.5489,                 1.3646,                 1.5396,              0.0010151,              0.0010151,              0.0010151
                     81,                0.78216,                0.59836,                0.99077,                0.86633,                 0.6017,                0.71636,                0.40977,                 1.5482,                 1.3555,                 1.5332,              0.0010069,              0.0010069,              0.0010069
                     82,                0.77778,                0.59349,                0.99794,                0.89616,                0.65357,                0.73385,                0.43663,                 1.5078,                 1.3546,                 1.4935,             0.00099862,             0.00099862,             0.00099862
                     83,                0.78484,                0.58353,                 0.9994,                0.86963,                0.62833,                0.69402,                0.42948,                 1.4892,                 1.4049,                 1.4847,             0.00099036,             0.00099036,             0.00099036
                     84,                0.77654,                0.57524,                0.98212,                0.77466,                0.60819,                0.67849,                0.41868,                 1.4977,                 1.4818,                 1.4843,             0.00098211,             0.00098211,             0.00098211
                     85,                0.82394,                0.62802,                 1.0161,                0.74062,                0.66742,                0.68136,                0.41522,                 1.5189,                 1.4933,                 1.5095,             0.00097386,             0.00097386,             0.00097386
                     86,                0.81619,                0.57775,                0.99605,                0.73086,                0.70119,                0.70065,                0.44508,                 1.4725,                  1.417,                 1.5033,             0.00096561,             0.00096561,             0.00096561
                     87,                0.82028,                0.61512,                 1.0139,                 0.7921,                0.67738,                0.70696,                0.44953,                 1.4485,                 1.3359,                 1.4818,             0.00095736,             0.00095736,             0.00095736
                     88,                0.79371,                0.61101,                0.98102,                0.76589,                0.72738,                0.71307,                 0.4321,                 1.4886,                  1.347,                 1.4768,             0.00094911,             0.00094911,             0.00094911
                     89,                0.79908,                0.59283,                0.97508,                0.75897,                0.75119,                0.71034,                0.40981,                 1.5743,                 1.3221,                 1.5283,             0.00094085,             0.00094085,             0.00094085
                     90,                0.75014,                 0.5595,                0.96317,                0.73291,                0.70119,                0.71107,                0.40381,                 1.5905,                 1.3003,                 1.5627,              0.0009326,              0.0009326,              0.0009326
                     91,                 0.7701,                0.56726,                0.96955,                0.85263,                0.66518,                 0.7137,                0.42136,                 1.5312,                  1.291,                 1.5163,             0.00092435,             0.00092435,             0.00092435
                     92,                0.74813,                0.55451,                0.96382,                0.71868,                 0.6506,                0.70829,                0.42923,                 1.4467,                 1.3172,                  1.443,              0.0009161,              0.0009161,              0.0009161
                     93,                  0.738,                0.55539,                 0.9684,                0.81242,                0.60595,                0.72069,                0.42252,                 1.4722,                 1.3128,                  1.444,             0.00090785,             0.00090785,             0.00090785
                     94,                0.77133,                0.56813,                0.95392,                0.65531,                0.70532,                0.70168,                0.42051,                 1.4507,                 1.3395,                 1.4256,              0.0008996,              0.0008996,              0.0008996
                     95,                0.73722,                0.53877,                0.96807,                0.61294,                0.70541,                0.69168,                0.41691,                 1.4425,                 1.3613,                 1.4328,             0.00089134,             0.00089134,             0.00089134
                     96,                0.73716,                0.55031,                 0.9684,                0.55773,                0.73214,                0.68975,                0.43381,                 1.4007,                 1.3312,                 1.4187,             0.00088309,             0.00088309,             0.00088309
                     97,                0.74753,                0.52443,                0.96424,                0.61341,                0.65315,                0.68691,                0.42811,                 1.3956,                 1.3015,                 1.4113,             0.00087484,             0.00087484,             0.00087484
                     98,                0.80051,                0.58236,                 1.0148,                0.47875,                0.78928,                0.68749,                0.43336,                 1.3839,                 1.2881,                 1.4002,             0.00086659,             0.00086659,             0.00086659
                     99,                0.77016,                0.55879,                0.99525,                0.53161,                0.75357,                0.65974,                0.39901,                 1.4125,                 1.3738,                 1.4178,             0.00085834,             0.00085834,             0.00085834
                    100,                0.75357,                0.54051,                0.96689,                0.57251,                0.69739,                 0.6773,                0.37249,                 1.5235,                 1.4876,                 1.5011,             0.00085009,             0.00085009,             0.00085009
                    101,                0.76336,                 0.5568,                0.96562,                0.57617,                0.69997,                0.69232,                0.40096,                 1.4779,                 1.4501,                 1.4621,             0.00084184,             0.00084184,             0.00084184
                    102,                0.70374,                0.53847,                0.95895,                0.67043,                0.60476,                0.70644,                0.41236,                  1.447,                 1.3805,                 1.4275,             0.00083358,             0.00083358,             0.00083358
                    103,                0.69967,                0.55795,                0.97092,                0.59015,                0.74179,                0.71595,                0.41414,                 1.4195,                 1.3658,                 1.4208,             0.00082533,             0.00082533,             0.00082533
                    104,                0.73105,                0.54625,                0.95581,                0.55584,                0.59918,                0.68107,                0.36313,                 1.4455,                  1.632,                   1.46,             0.00081708,             0.00081708,             0.00081708
                    105,                0.70985,                0.52684,                0.96687,                0.64204,                0.51547,                0.62944,                0.33833,                 1.4049,                 1.7709,                 1.4223,             0.00080883,             0.00080883,             0.00080883
                    106,                0.67897,                0.52654,                0.95597,                0.66593,                 0.5369,                0.63725,                0.35021,                 1.3607,                  1.639,                 1.3889,             0.00080058,             0.00080058,             0.00080058
                    107,                0.71902,                0.51095,                0.97456,                0.58728,                0.66507,                0.65865,                0.36258,                 1.4312,                 1.6325,                 1.4266,             0.00079233,             0.00079233,             0.00079233
                    108,                 0.6803,                0.50705,                0.94367,                0.53629,                0.65714,                0.62986,                0.34323,                 1.4685,                 1.5436,                 1.4684,             0.00078407,             0.00078407,             0.00078407
                    109,                0.68745,                0.54873,                0.95788,                 0.5359,                0.60956,                 0.6573,                0.36029,                 1.4416,                 1.6065,                 1.4402,             0.00077582,             0.00077582,             0.00077582
                    110,                 0.6842,                0.50308,                0.95701,                0.80129,                0.45714,                 0.6381,                0.36784,                 1.4179,                 1.6408,                 1.4317,             0.00076757,             0.00076757,             0.00076757
                    111,                0.66977,                0.49563,                 0.9361,                0.52288,                0.63336,                0.64072,                0.35577,                 1.4273,                 1.7332,                 1.4552,             0.00075932,             0.00075932,             0.00075932
                    112,                0.68075,                0.50754,                0.93596,                0.53343,                    0.7,                 0.6759,                0.35266,                 1.5749,                 1.6302,                 1.6042,             0.00075107,             0.00075107,             0.00075107
                    113,                0.64188,                  0.484,                0.91053,                0.58719,                0.76369,                0.70167,                 0.3736,                 1.5447,                 1.5175,                 1.5958,             0.00074282,             0.00074282,             0.00074282
                    114,                0.69728,                0.49411,                0.96853,                0.61901,                0.72494,                 0.7411,                0.42131,                 1.4928,                 1.4103,                 1.5343,             0.00073456,             0.00073456,             0.00073456
                    115,                0.72411,                0.57371,                0.98257,                0.59723,                0.77857,                 0.7347,                0.41085,                 1.5148,                 1.3415,                 1.5382,             0.00072631,             0.00072631,             0.00072631
                    116,                0.67071,                0.49381,                 0.9309,                0.60397,                0.70595,                0.72259,                0.38877,                 1.5682,                 1.3717,                 1.5923,             0.00071806,             0.00071806,             0.00071806
                    117,                 0.6646,                0.48004,                0.91269,                 0.6524,                0.65595,                0.72048,                0.40224,                 1.5172,                 1.3552,                 1.5624,             0.00070981,             0.00070981,             0.00070981
                    118,                0.66327,                0.48706,                0.92573,                0.58791,                0.58078,                0.65741,                0.37762,                 1.5397,                 1.4425,                 1.6059,             0.00070156,             0.00070156,             0.00070156
                    119,                0.70041,                0.56441,                0.96954,                0.62804,                0.53859,                0.61281,                0.35957,                 1.5799,                 1.5675,                 1.6734,             0.00069331,             0.00069331,             0.00069331
                    120,                0.68525,                0.51603,                0.97808,                0.54869,                 0.5498,                0.54851,                0.32938,                 1.6229,                 1.9447,                 1.7459,             0.00068505,             0.00068505,             0.00068505
                    121,                0.65774,                0.47486,                0.96094,                0.53995,                0.57091,                 0.5522,                 0.3304,                 1.5811,                  1.953,                 1.6885,              0.0006768,              0.0006768,              0.0006768
                    122,                0.65218,                0.47659,                0.93523,                0.54345,                0.60196,                0.57584,                0.35286,                 1.5589,                 1.8015,                 1.6282,             0.00066855,             0.00066855,             0.00066855
                    123,                0.62563,                0.46075,                0.91973,                0.57312,                0.59109,                0.58567,                0.36538,                  1.556,                 1.6108,                 1.5921,              0.0006603,              0.0006603,              0.0006603
                    124,                0.64423,                0.46761,                0.95043,                0.83837,                0.53333,                0.61917,                0.36784,                 1.6669,                 1.4354,                 1.6946,             0.00065205,             0.00065205,             0.00065205
                    125,                0.65864,                0.44739,                0.92184,                0.88735,                0.53835,                0.66901,                0.36204,                 1.6922,                 1.3868,                 1.7237,              0.0006438,              0.0006438,              0.0006438
                    126,                0.66164,                0.47547,                0.95484,                0.89683,                0.53333,                0.64541,                0.36434,                 1.6834,                 1.3078,                 1.7047,             0.00063554,             0.00063554,             0.00063554
                    127,                0.63539,                0.47457,                0.93556,                0.92499,                0.58165,                0.73351,                0.37917,                 1.6547,                 1.2911,                 1.6783,             0.00062729,             0.00062729,             0.00062729
                    128,                0.64257,                0.44172,                0.93109,                0.88149,                0.55833,                 0.7167,                0.35889,                 1.6626,                 1.3243,                 1.6921,             0.00061904,             0.00061904,             0.00061904
                    129,                0.65439,                0.50237,                0.95418,                 0.5573,                0.74145,                0.70768,                0.36084,                 1.6717,                 1.3823,                 1.7072,             0.00061079,             0.00061079,             0.00061079
                    130,                0.64482,                0.45358,                0.94297,                0.81734,                 0.5096,                0.69226,                0.34745,                  1.666,                 1.4241,                 1.7098,             0.00060254,             0.00060254,             0.00060254
                    131,                 0.6109,                0.44968,                0.93748,                0.59822,                0.72772,                0.68649,                 0.3417,                 1.6814,                 1.4576,                 1.7389,             0.00059429,             0.00059429,             0.00059429
                    132,                0.60079,                0.44052,                0.91959,                0.55115,                 0.6265,                0.64183,                0.31558,                 1.7435,                 1.5832,                 1.8106,             0.00058603,             0.00058603,             0.00058603
                    133,                0.65307,                0.45838,                0.94254,                0.52962,                0.61622,                0.62966,                0.30089,                 1.7236,                 1.6667,                 1.7894,             0.00057778,             0.00057778,             0.00057778
                    134,                0.67951,                0.47186,                0.93086,                0.51082,                0.58214,                0.61493,                0.30855,                 1.6414,                 1.7196,                 1.7001,             0.00056953,             0.00056953,             0.00056953
                    135,                0.61484,                0.47811,                0.94248,                0.51374,                0.56659,                0.62142,                0.34364,                 1.5278,                 1.7157,                    1.6,             0.00056128,             0.00056128,             0.00056128
                    136,                0.61062,                0.43366,                0.92624,                0.52818,                0.63214,                0.61536,                0.34258,                 1.4876,                 1.6771,                 1.5524,             0.00055303,             0.00055303,             0.00055303
                    137,                0.60196,                0.43339,                0.93223,                0.54479,                0.65257,                 0.6223,                0.33886,                 1.5128,                 1.6459,                  1.579,             0.00054478,             0.00054478,             0.00054478
                    138,                0.59479,                0.43135,                0.90057,                0.54795,                0.63214,                0.64312,                0.34901,                 1.5051,                 1.5922,                 1.5841,             0.00053652,             0.00053652,             0.00053652
                    139,                0.60999,                0.46208,                0.94538,                0.55924,                0.62988,                 0.6612,                0.36921,                 1.4669,                  1.527,                 1.5446,             0.00052827,             0.00052827,             0.00052827
                    140,                0.57393,                0.43095,                 0.9325,                0.65801,                0.63214,                0.68301,                 0.3997,                 1.4492,                 1.4223,                 1.4676,             0.00052002,             0.00052002,             0.00052002
                    141,                0.59002,                0.42519,                0.92387,                0.60893,                0.65595,                0.69231,                0.38924,                   1.46,                 1.4197,                 1.4628,             0.00051177,             0.00051177,             0.00051177
                    142,                0.60294,                0.43019,                0.90444,                0.61829,                0.67618,                 0.6916,                0.38285,                 1.4989,                 1.4381,                 1.5026,             0.00050352,             0.00050352,             0.00050352
                    143,                0.59874,                0.43962,                0.91745,                0.62905,                0.72857,                0.67978,                0.37235,                 1.4935,                 1.5089,                 1.5165,             0.00049527,             0.00049527,             0.00049527
                    144,                0.57803,                0.42433,                 0.9086,                0.65999,                0.61324,                0.68686,                0.35816,                 1.5719,                 1.4592,                 1.6101,             0.00048701,             0.00048701,             0.00048701
                    145,                0.58784,                0.41164,                0.91886,                0.64474,                0.60238,                0.66732,                0.34449,                  1.607,                 1.4382,                 1.6636,             0.00047876,             0.00047876,             0.00047876
                    146,                0.57056,                0.41827,                0.90974,                0.71397,                0.60238,                0.68546,                0.34952,                 1.6154,                 1.4003,                 1.6653,             0.00047051,             0.00047051,             0.00047051
                    147,                0.52977,                0.42096,                0.91084,                 0.8061,                0.60238,                0.68015,                 0.3537,                 1.5909,                 1.3587,                 1.6546,             0.00046226,             0.00046226,             0.00046226
                    148,                0.56732,                0.39925,                0.90552,                0.85037,                0.60238,                 0.7028,                0.39214,                 1.5692,                 1.3317,                 1.6553,             0.00045401,             0.00045401,             0.00045401
                    149,                 0.5247,                0.40019,                0.88719,                0.83553,                 0.5954,                0.69068,                0.39572,                 1.5753,                 1.3163,                 1.6799,             0.00044576,             0.00044576,             0.00044576
